currency,model_accuracy,model_f1_macro,majority_baseline_accuracy,continuation_baseline_accuracy,improvement_vs_majority_pts,improvement_vs_continuation_pts
LKR,0.8477751756440282,0.458808618504436,0.8477751756440282,0.7213114754098361,0.0,12.646370023419207
INR,0.8618266978922716,0.4628930817610063,0.8618266978922716,0.7236533957845434,0.0,13.817330210772827
EUR,0.5714285714285714,0.36363636363636365,0.5714285714285714,0.4379391100702576,0.0,13.34894613583138
GBP,0.5610328638497653,0.378199274089685,0.5516431924882629,0.24413145539906103,0.9389671361502372,31.690140845070424
JPY,0.3185011709601874,0.24156305506216696,0.3185011709601874,0.48009367681498827,0.0,-16.159250585480088
