currency,dist_used,converged,omega,alpha1,beta1,persistence,log_likelihood,aic,bic,conditional_vol_vs_realized_vol_corr
LKR,t,True,0.010624625095187662,0.049999706222831654,0.9299945357446686,0.9799942419675003,-1871.974824152007,3753.949648304014,3791.305473255304,0.8426992149957907
INR,t,True,0.001799938814784362,0.16571972244011413,0.8335562385407437,0.9992759609808578,-1830.7006735034552,3671.4013470069103,3708.7571719582006,0.8951959930773093
EUR,t,True,0.0006500425971601404,0.032321359628245505,0.9667954894824222,0.9991168491106677,-4921.192284344058,9852.384568688116,9886.042864695799,0.9270118017967011
GBP,normal,True,0.002750225211701316,0.0732209165167644,0.9231448308526614,0.9963657473694258,-10453.857462995202,20915.714925990404,20945.757002133432,0.9620785278458355
JPY,t,True,0.00014140632210693225,0.06143180994559757,0.9384402744884104,0.999872084434008,-9925.096759716307,19860.193519432614,19897.7461146114,0.9479883282072087
